"Gene","Gene.synonym","Ensembl","Gene.description","Uniprot","Chromosome","Position","Protein.class","Biological.process","Molecular.function","Disease.involvement","Evidence","HPA.evidence","UniProt.evidence","NeXtProt.evidence","RNA.tissue.specificity","RNA.tissue.distribution","RNA.tissue.specificity.score","RNA.tissue.specific.nTPM","RNA.single.cell.type.specificity","RNA.single.cell.type.distribution","RNA.single.cell.type.specificity.score","RNA.single.cell.type.specific.nTPM","RNA.cancer.specificity","RNA.cancer.distribution","RNA.cancer.specificity.score","RNA.cancer.specific.FPKM","RNA.brain.regional.specificity","RNA.brain.regional.distribution","RNA.brain.regional.specificity.score","RNA.brain.regional.specific.nTPM","RNA.blood.cell.specificity","RNA.blood.cell.distribution","RNA.blood.cell.specificity.score","RNA.blood.cell.specific.nTPM","RNA.blood.lineage.specificity","RNA.blood.lineage.distribution","RNA.blood.lineage.specificity.score","RNA.blood.lineage.specific.nTPM","RNA.cell.line.specificity","RNA.cell.line.distribution","RNA.cell.line.specificity.score","RNA.cell.line.specific.nTPM","RNA.tissue.cell.type.enrichment","RNA.mouse.brain.regional.specificity","RNA.mouse.brain.regional.distribution","RNA.mouse.brain.regional.specificity.score","RNA.mouse.brain.regional.specific.nTPM","RNA.pig.brain.regional.specificity","RNA.pig.brain.regional.distribution","RNA.pig.brain.regional.specificity.score","RNA.pig.brain.regional.specific.nTPM","Antibody","Reliability..IH.","Reliability..Mouse.Brain.","Reliability..IF.","Subcellular.location","Secretome.location","CCD.Protein","CCD.Transcript","Blood.concentration...Conc..blood.IM..pg.L.","Blood.concentration...Conc..blood.MS..pg.L.","Blood.expression.cluster","Tissue.expression.cluster","Cell.line.expression.cluster","Single.cell.expression.cluster","Subcellular.main.location","Subcellular.additional.location","Antibody.RRID","Pathology.prognostics...Breast.cancer","Pathology.prognostics...Cervical.cancer","Pathology.prognostics...Colorectal.cancer","Pathology.prognostics...Endometrial.cancer","Pathology.prognostics...Glioma","Pathology.prognostics...Head.and.neck.cancer","Pathology.prognostics...Liver.cancer","Pathology.prognostics...Lung.cancer","Pathology.prognostics...Melanoma","Pathology.prognostics...Ovarian.cancer","Pathology.prognostics...Pancreatic.cancer","Pathology.prognostics...Prostate.cancer","Pathology.prognostics...Renal.cancer","Pathology.prognostics...Stomach.cancer","Pathology.prognostics...Testis.cancer","Pathology.prognostics...Thyroid.cancer","Pathology.prognostics...Urothelial.cancer"
"HSPB1","CMT2F, Hs.76067, Hsp25, HSP27, HSP28","ENSG00000106211","Heat shock protein family B (small) member 1","P04792","7","76302673-76304295","Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins","Host-virus interaction, Stress response","Chaperone","Cancer-related genes, Charcot-Marie-Tooth disease, Disease variant, Neurodegeneration, Neuropathy","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in all",NA,"esophagus: 5909.6","Cell type enhanced","Detected in all",NA,"Exocrine glandular cells: 7045.5;Squamous epithelial cells: 6860.6;Suprabasal keratinocytes: 4885.4","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in all",NA,"","Low lineage specificity","Detected in all",NA,"","Low cancer specificity","Detected in all",NA,"","Colon - Smooth muscle cells, Skin - Keratinocyte (other), Stomach - Fibroblasts","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA000497, CAB004439, CAB047330, CAB047331, CAB047332","Enhanced","","Enhanced","Plasma membrane,Cytosol","",NA,NA,NA,1.9e+07,"Cluster 12: Non-specific - Basic cellular processes","Cluster 84: Esophagus - Epithelial cell function","Cluster 17: RS4;11 - Unknown function","Cluster 22: Squamous epithelial cells - Keratinization","Plasma membrane, Cytosol","","CAB004439: AB_627755, CAB047330: , CAB047331: , CAB047332: , HPA000497: AB_1851172","unprognostic (2.55e-1)","unprognostic (7.25e-3)","prognostic unfavorable (9.94e-5)","unprognostic (7.07e-3)","unprognostic (3.47e-3)","unprognostic (6.61e-3)","unprognostic (4.08e-3)","unprognostic (4.50e-2)","unprognostic (1.27e-1)","unprognostic (9.78e-2)","unprognostic (8.70e-2)","unprognostic (2.21e-1)","unprognostic (5.72e-2)","unprognostic (5.18e-2)","unprognostic (2.67e-1)","unprognostic (2.56e-1)","unprognostic (3.63e-1)"
"HYI","HT036","ENSG00000178922","Hydroxypyruvate isomerase (putative)","Q5T013","1","43450989-43453989","Enzymes, Metabolic proteins, Predicted intracellular proteins","","Isomerase","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in all",NA,"","Cell type enhanced","Detected in all",NA,"Exocrine glandular cells: 187.2;Pancreatic endocrine cells: 187.2;Proximal enterocytes: 207.6","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Immune cell enhanced","Detected in many",NA,"plasmacytoid DC: 29.9","Low lineage specificity","Detected in all",NA,"","Low cancer specificity","Detected in all",NA,"","","","",NA,"","Low region specificity","Detected in all",NA,"","HPA040092","Approved","","Approved","Golgi apparatus,Plasma membrane,Cytosol","","No","No",NA,NA,"Cluster 47: Plasmacytoid DCs - Protein folding","Cluster 22: Non-specific - Unknown function","Cluster 3: HUVEC & TIME - Signal transduction","Cluster 70: Basal prostatic cells - Lipid metabolism","Plasma membrane, Cytosol","Golgi apparatus","HPA040092: AB_10795374","prognostic favorable (9.18e-4)","unprognostic (1.67e-1)","prognostic unfavorable (4.96e-4)","unprognostic (2.68e-2)","unprognostic (3.86e-1)","unprognostic (4.40e-2)","prognostic unfavorable (5.55e-4)","unprognostic (2.75e-2)","unprognostic (1.42e-1)","unprognostic (2.34e-2)","unprognostic (1.10e-2)","unprognostic (4.43e-2)","prognostic unfavorable (2.75e-5)","unprognostic (5.10e-2)","unprognostic (7.93e-2)","unprognostic (3.58e-2)","prognostic favorable (2.72e-5)"
"HYLS1","FLJ32915","ENSG00000198331","HYLS1 centriolar and ciliogenesis associated","Q96M11","11","125883614-125900646","Disease related genes, Human disease related genes, Predicted intracellular proteins","Cilium biogenesis/degradation","","Ciliopathy, Disease variant","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in all",NA,"testis: 26.5","Cell type enhanced","Detected in all",NA,"Early spermatids: 64.5;Late spermatids: 67.6;Spermatocytes: 86.0","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in all",NA,"","Low lineage specificity","Detected in all",NA,"","Low cancer specificity","Detected in all",NA,"","Testis - Early spermatids","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA041210","Enhanced","","Supported","Plasma membrane,Cytosol","",NA,"Yes",NA,NA,"Cluster 47: Plasmacytoid DCs - Protein folding","Cluster 78: Testis - Spermatogenesis","Cluster 58: Non-specific - Basic cellular processes","Cluster 31: Spermatocytes - Spermatogenesis","Plasma membrane, Cytosol","","HPA041210: AB_10794987","unprognostic (2.46e-1)","unprognostic (1.60e-1)","unprognostic (1.49e-1)","unprognostic (2.35e-1)","unprognostic (3.53e-3)","unprognostic (1.17e-2)","prognostic unfavorable (1.92e-4)","unprognostic (3.28e-1)","unprognostic (1.04e-3)","unprognostic (6.56e-3)","unprognostic (7.63e-2)","unprognostic (4.81e-3)","unprognostic (3.00e-2)","unprognostic (2.19e-1)","unprognostic (2.49e-1)","unprognostic (1.03e-1)","unprognostic (4.56e-2)"
"ICAM1","BB2, CD54","ENSG00000090339","Intercellular adhesion molecule 1","P05362","19","10271093-10286615","Cancer-related genes, Candidate cardiovascular disease genes, CD markers, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters","Cell adhesion, Host-virus interaction","Host cell receptor for virus entry, Receptor","Cancer-related genes, FDA approved drug targets","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in all",NA,"lung: 219.3;urinary bladder: 215.3","Cell type enhanced","Detected in many",NA,"Alveolar cells type 1: 523.4;Alveolar cells type 2: 268.2;Endothelial cells: 270.5;Exocrine glandular cells: 317.2;Langerhans cells: 219.0","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in all",NA,"","Low lineage specificity","Detected in all",NA,"","Low cancer specificity","Detected in all",NA,"","","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA002126, CAB002142, HPA004877","Enhanced","","Approved","Vesicles,Plasma membrane,Cytosol","",NA,NA,87900000,2.2e+09,"Cluster 8: Neutrophils - Inflammatory response","Cluster 40: Neutrophils - Inflammatory response","Cluster 3: HUVEC & TIME - Signal transduction","Cluster 66: Endothelial cells - Angiogenesis","Plasma membrane","Vesicles, Cytosol","CAB002142: AB_563596, HPA002126: AB_1078470, HPA004877: AB_1846317","prognostic favorable (7.09e-4)","unprognostic (1.88e-1)","unprognostic (1.94e-1)","unprognostic (2.63e-2)","unprognostic (3.25e-3)","unprognostic (3.05e-1)","unprognostic (1.45e-2)","unprognostic (3.48e-1)","unprognostic (3.18e-2)","unprognostic (1.09e-2)","unprognostic (1.49e-2)","unprognostic (1.79e-1)","prognostic unfavorable (1.32e-6)","unprognostic (2.77e-1)","unprognostic (2.16e-2)","unprognostic (2.25e-1)","unprognostic (3.70e-3)"
"ICAM2","CD102","ENSG00000108622","Intercellular adhesion molecule 2","P13598","17","64002594-64020634","CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","Cell adhesion","","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in all",NA,"lymphoid tissue: 168.1","Cell type enhanced","Detected in many",NA,"Adipocytes: 351.0;Endothelial cells: 214.4;monocytes: 114.0;NK-cells: 87.6;Plasma cells: 123.6","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in all",NA,"","Low lineage specificity","Detected in all",NA,"","Group enriched","Detected in many",4,"Bile duct cancer: 27.7;Leukemia: 72.6;lymphoma: 49.9;Myeloma: 72.4;ovarian cancer: 30.4;pancreatic cancer: 44.0","Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Breast - Endothelial cells, Colon - Endothelial cells, Heart muscle - Endothelial cells, Kidney - Endothelial cells, Lung - Endothelial cells, Prostate - Endothelial cells, Skeletal muscle - Endothelial cells, Skin - Endothelial cells, Testis - Endothelial cells, Thyroid - Endothelial cells","Low region specificity","Detected in all",NA,"","","",NA,"","HPA071155","","","Approved","Plasma membrane,Cytosol","",NA,NA,NA,7.3e+08,"Cluster 12: Non-specific - Basic cellular processes","Cluster 16: Immune cells - Immune response","Cluster 3: HUVEC & TIME - Signal transduction","Cluster 66: Endothelial cells - Angiogenesis","Plasma membrane","Cytosol","HPA071155: ","unprognostic (9.43e-3)","unprognostic (3.31e-2)","unprognostic (5.15e-2)","unprognostic (1.15e-1)","unprognostic (8.97e-2)","unprognostic (1.64e-3)","unprognostic (1.34e-1)","unprognostic (3.74e-1)","unprognostic (8.28e-2)","unprognostic (2.15e-1)","unprognostic (4.18e-2)","unprognostic (1.55e-2)","unprognostic (9.07e-2)","unprognostic (1.48e-1)","unprognostic (3.93e-2)","unprognostic (6.04e-2)","unprognostic (2.29e-1)"
"IFIT5","RI58","ENSG00000152778","Interferon induced protein with tetratricopeptide repeats 5","Q13325","10","89414568-89421605","Predicted intracellular proteins","Antiviral defense, Immunity, Innate immunity","RNA-binding, tRNA-binding","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in all",NA,"","Low cell type specificity","Detected in many",NA,"","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in all",NA,"","Low lineage specificity","Detected in all",NA,"","Low cancer specificity","Detected in all",NA,"","","","",NA,"","Low region specificity","Detected in all",NA,"","HPA037957, HPA062180","Uncertain","","Supported","Plasma membrane","",NA,NA,NA,NA,"Cluster 8: Neutrophils - Inflammatory response","Cluster 48: Parathyroid gland - membrane proteins","Cluster 30: Non-specific - Antiviral immune response","Cluster 19: Macrophages - Innate immune response","Plasma membrane","","HPA037957: AB_10672499, HPA062180: AB_2684705","unprognostic (2.17e-1)","unprognostic (1.85e-1)","unprognostic (1.38e-1)","unprognostic (1.26e-1)","unprognostic (1.67e-3)","unprognostic (4.19e-2)","unprognostic (2.88e-2)","unprognostic (2.80e-1)","unprognostic (1.45e-1)","unprognostic (8.89e-2)","unprognostic (1.63e-1)","unprognostic (1.86e-1)","unprognostic (3.24e-2)","unprognostic (1.48e-1)","unprognostic (3.42e-1)","unprognostic (2.43e-2)","unprognostic (1.73e-1)"
"IFITM1","9-27, CD225, DSPA2a, IFI17","ENSG00000185885","Interferon induced transmembrane protein 1","P13164","11","310041-315272","CD markers, Plasma proteins, Predicted membrane proteins, Transporters","Antiviral defense, Immunity, Innate immunity, Osteogenesis","","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in all",NA,"","Cell type enhanced","Detected in many",NA,"Basal squamous epithelial cells: 351.2;Endothelial cells: 308.4;Leydig cells: 227.4;NK-cells: 258.0;T-cells: 493.0;Thymic epithelial cells: 302.7","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Group enriched","Detected in all",5,"eosinophil: 1494.7;gdT-cell: 2906.3;MAIT T-cell: 2003.4;memory CD4 T-cell: 3120.6;memory CD8 T-cell: 3000.3;naive CD4 T-cell: 2939.3;naive CD8 T-cell: 2996.4;neutrophil: 2741.6;NK-cell: 4679.9;T-reg: 1944.8","Group enriched","Detected in all",7,"granulocytes: 2741.6;NK-cells: 4679.9;T-cells: 3120.6","Low cancer specificity","Detected in all",NA,"","Colon - Endothelial cells, Heart muscle - Endothelial cells, Skeletal muscle - Endothelial cells","","",NA,"","","",NA,"","HPA004810, CAB017615","Enhanced","","Uncertain","Golgi apparatus,Plasma membrane,Cytosol","",NA,NA,NA,NA,"Cluster 48: NK-cells - Unknown function","Cluster 68: Epididymis - Unknown function","Cluster 30: Non-specific - Antiviral immune response","Cluster 2: T-cells - T-cell receptor","Golgi apparatus","Plasma membrane, Cytosol","CAB017615: AB_2264496, HPA004810: AB_1851419","unprognostic (1.03e-3)","unprognostic (6.79e-2)","unprognostic (1.03e-1)","unprognostic (2.98e-1)","unprognostic (2.57e-1)","unprognostic (9.06e-2)","unprognostic (7.58e-2)","unprognostic (3.03e-1)","unprognostic (6.21e-2)","unprognostic (5.53e-2)","unprognostic (6.64e-3)","unprognostic (1.48e-2)","prognostic unfavorable (5.77e-9)","unprognostic (7.29e-2)","unprognostic (6.29e-2)","unprognostic (3.15e-2)","unprognostic (3.82e-2)"
"IFITM2","1-8D, DSPA2c","ENSG00000185201","Interferon induced transmembrane protein 2","Q01629","11","303655-309397","Predicted membrane proteins, Transporters","Antiviral defense, Immunity, Innate immunity","","","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in all",NA,"","Cell type enhanced","Detected in many",NA,"Adipocytes: 943.1;monocytes: 1676.7;NK-cells: 1445.3;Thymic epithelial cells: 998.8","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Immune cell enriched","Detected in all",6,"neutrophil: 23410.9","Lineage enriched","Detected in all",11,"granulocytes: 23410.9","Low cancer specificity","Detected in all",NA,"","","","",NA,"","","",NA,"","HPA004337, HPA044731","Uncertain","","Approved","Nucleoplasm,Cell Junctions","",NA,NA,NA,450000,"Cluster 50: Neutrophils - Cellular senescence","Cluster 72: Non-specific - Transcription","Cluster 17: RS4;11 - Unknown function","Cluster 33: Macrophages - Degranulation","Cell Junctions","Nucleoplasm","HPA004337: AB_1851427, HPA044731: ","unprognostic (2.39e-2)","unprognostic (2.69e-2)","unprognostic (4.54e-1)","unprognostic (1.65e-2)","unprognostic (3.41e-2)","unprognostic (1.86e-1)","unprognostic (3.56e-2)","unprognostic (3.87e-2)","unprognostic (3.87e-1)","unprognostic (2.36e-1)","unprognostic (2.46e-3)","unprognostic (1.64e-2)","prognostic unfavorable (2.37e-9)","unprognostic (2.79e-1)","unprognostic (3.28e-2)","unprognostic (1.51e-1)","unprognostic (1.16e-2)"
"IFNGR1","CD119, IFNGR","ENSG00000027697","Interferon gamma receptor 1","P15260","6","137197485-137219449","CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins","","Receptor","Disease variant, FDA approved drug targets","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in all",NA,"","Cell type enhanced","Detected in all",NA,"Basal respiratory cells: 852.6;Ionocytes: 638.7;monocytes: 412.2","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in all",NA,"","Low lineage specificity","Detected in all",NA,"","Low cancer specificity","Detected in all",NA,"","","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","CAB025889, HPA029213, HPA063871","Approved","","Supported","Plasma membrane","",NA,NA,NA,NA,"Cluster 8: Neutrophils - Inflammatory response","Cluster 2: Immune cells - Immune response","Cluster 60: Keratinocytes - Epithelial cell function","Cluster 5: Bronchus - Unknown function","Plasma membrane","","CAB025889: , HPA029213: AB_10601023, HPA063871: AB_2685138","unprognostic (1.73e-1)","unprognostic (8.86e-2)","unprognostic (9.85e-3)","unprognostic (1.71e-1)","unprognostic (6.55e-2)","unprognostic (1.25e-1)","unprognostic (4.05e-1)","unprognostic (6.97e-2)","unprognostic (9.86e-2)","unprognostic (1.57e-2)","unprognostic (4.09e-2)","unprognostic (2.85e-1)","prognostic unfavorable (5.48e-4)","unprognostic (1.58e-1)","unprognostic (2.87e-2)","unprognostic (1.81e-2)","unprognostic (5.38e-3)"
"IFRD1","PC4, TIS7","ENSG00000006652","Interferon related developmental regulator 1","O00458","7","112422887-112481017","Predicted intracellular proteins, Predicted membrane proteins","Differentiation","Developmental protein","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in all",NA,"","Low cell type specificity","Detected in many",NA,"","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Group enriched","Detected in all",4,"eosinophil: 64.2;neutrophil: 112.3","Lineage enriched","Detected in all",13,"granulocytes: 112.3","Low cancer specificity","Detected in all",NA,"","","","",NA,"","","",NA,"","HPA024122, HPA072413","Enhanced","","Approved","Plasma membrane,Cytosol","","No","No",NA,NA,"Cluster 5: Granulocytes - Unknown function","Cluster 50: Non-specific - Ribosome","Cluster 31: Non-specific - Transcription","Cluster 11: Non-specific - Transcription","Plasma membrane, Cytosol","","HPA024122: AB_1851452, HPA072413: ","unprognostic (2.29e-1)","unprognostic (3.47e-1)","unprognostic (1.10e-1)","unprognostic (9.82e-3)","unprognostic (1.36e-2)","unprognostic (2.39e-1)","unprognostic (5.73e-3)","unprognostic (1.37e-1)","unprognostic (2.48e-2)","prognostic favorable (5.45e-4)","unprognostic (6.41e-2)","unprognostic (2.93e-3)","unprognostic (1.50e-3)","unprognostic (4.81e-2)","unprognostic (1.98e-1)","unprognostic (2.89e-1)","unprognostic (4.70e-2)"
"IGFLR1","FLJ22573, TMEM149, U2AF1L4","ENSG00000126246","IGF like family receptor 1","Q9H665","19","35738801-35742453","Predicted intracellular proteins, Predicted membrane proteins","","Receptor","","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in all",NA,"liver: 49.9","Cell type enhanced","Detected in many",NA,"B-cells: 20.6;dendritic cells: 43.2;Hepatocytes: 21.3;Langerhans cells: 45.0;Macrophages: 20.8;Plasma cells: 31.2","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Immune cell enhanced","Detected in all",NA,"plasmacytoid DC: 899.7","Lineage enriched","Detected in all",4,"dendritic cells: 899.7","Cancer enhanced","Detected in all",NA,"Myeloma: 18.0","Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Stomach - Macrophages","Low region specificity","Detected in single",NA,"","Not detected","Not detected",NA,"","HPA012369, HPA070778","Uncertain","","Approved","Nucleoplasm,Plasma membrane","Intracellular and membrane",NA,NA,NA,NA,"Cluster 3: Plasmacytoid DCs - Unknown function","Cluster 64: Macrophages - Immune response","Cluster 9: Lymphoid cancers - Immune response","Cluster 23: Langerhans cells - Immune response","Nucleoplasm, Plasma membrane","","HPA012369: AB_1858095, HPA070778: ","unprognostic (5.97e-3)","prognostic favorable (6.55e-4)","unprognostic (1.94e-1)","unprognostic (5.42e-2)","unprognostic (8.31e-3)","unprognostic (2.34e-4)","unprognostic (6.71e-2)","unprognostic (1.74e-2)","unprognostic (1.87e-2)","prognostic favorable (1.59e-5)","unprognostic (1.44e-3)","unprognostic (3.52e-1)","unprognostic (8.72e-12)","unprognostic (2.74e-1)","unprognostic (1.22e-1)","unprognostic (2.29e-1)","unprognostic (3.32e-3)"
